Designator,Mid X,Mid Y,Rotation,Layer
C101,35.9,15.6,180.0,top
C102,14.6,15.5,180.0,top
C103,44.1,18.4,180.0,top
C104,37.8,9.9,0.0,top
C105,37.1,8.0,180.0,top
C106,16.6,9.9,0.0,top
C107,15.9,8.0,180.0,top
C108,39.8,14.7,180.0,top
C109,35.0,19.5,90.0,top
C110,37.8,19.5,90.0,top
C111,18.6,14.7,180.0,top
C112,17.3,20.0,0.0,top
C113,17.3,17.5,0.0,top
C114,44.7,39.7,90.0,top
C115,31.5,34.5,0.0,top
C116,24.3,34.5,180.0,top
C117,59.1,34.6,270.0,top
C118,41.05,34.6,0.0,top
C119,33.85,34.5,180.0,top
C120,67.1,34.6,270.0,top
C121,4.9,43.5,270.0,top
C122,2.9,42.5,270.0,top
C123,75.1,34.6,270.0,top
C124,55.4,35.2,180.0,top
D101,47.8,21.5,90.0,top
D102,40.9,28.3,90.0,top
D103,31.4,39.8,90.0,top
D104,43.1,36.5,270.0,top
D105,46.2,39.0,270.0,top
J101,12.55,3.4,0.0,top
J102,52.075,28.0,90.0,top
J103,60.075,28.0,90.0,top
J104,68.075,28.0,90.0,top
J105,76.075,28.0,90.0,top
J106,44.075,45.2,90.0,top
J107,60.075,42.6,90.0,top
J108,26.475,43.9,90.0,top
J109,68.075,42.6,90.0,top
J110,36.075,43.9,90.0,top
J111,76.075,42.6,90.0,top
J112,76.075,13.4,90.0,top
J113,5.5,25.075,180.0,top
J114,68.075,13.4,90.0,top
J115,17.5,25.075,180.0,top
J116,60.075,13.4,90.0,top
J117,52.075,43.9,90.0,top
J118,27.475,27.5,90.0,top
J119,52.075,13.4,90.0,top
J120,35.975,27.5,90.0,top
J121,43.975,12.1,90.0,top
JP102,44.03,28.0,90.0,top
L101,27.8,14.4,90.0,top
L102,6.6,14.4,90.0,top
Q101,5.1,37.5,270.0,top
Q102,52.2,36.5,180.0,top
Q103,8.6,37.5,270.0,top
Q104,12.1,37.5,270.0,top
Q105,15.6,37.5,270.0,top
Q106,52.6,22.0,180.0,top
R101,47.8,18.9,270.0,top
R102,40.7,22.9,270.0,top
R103,39.8,13.7,180.0,top
R104,18.6,13.7,180.0,top
R105,40.7,20.9,90.0,top
R106,46.2,18.4,0.0,top
R107,47.9,28.1,270.0,top
R109,39.8,12.7,0.0,top
R110,18.6,12.7,0.0,top
R111,39.8,11.7,180.0,top
R112,18.6,11.7,180.0,top
R114,42.7,39.7,270.0,top
R115,43.7,39.7,90.0,top
R116,43.2,28.9,90.0,top
R117,62.1,34.6,90.0,top
R118,61.1,34.6,90.0,top
R119,31.5,37.3,0.0,top
R120,29.2,37.8,180.0,top
R121,60.1,34.6,270.0,top
R122,31.5,36.4,180.0,top
R123,27.3,37.8,0.0,top
R124,24.3,35.5,180.0,top
R125,70.1,34.6,90.0,top
R126,69.1,34.6,90.0,top
R127,41.2,37.8,180.0,top
R128,38.7,37.8,180.0,top
R129,68.1,34.6,270.0,top
R130,41.2,36.4,180.0,top
R131,36.8,37.8,0.0,top
R132,33.85,35.5,180.0,top
R133,78.1,34.6,90.0,top
R134,77.1,34.6,90.0,top
R135,72.6,7.6,90.0,top
R136,76.1,34.6,270.0,top
R137,5.6,40.0,180.0,top
R138,5.6,35.0,180.0,top
R139,72.6,9.7,90.0,top
R140,9.1,40.0,180.0,top
R141,9.1,35.0,180.0,top
R142,49.6,37.0,90.0,top
R143,55.4,37.2,0.0,top
R144,64.6,9.2,90.0,top
R145,55.4,36.2,180.0,top
R146,12.6,40.0,180.0,top
R147,12.6,35.0,180.0,top
R148,56.6,9.2,90.0,top
R149,16.1,40.0,180.0,top
R150,15.1,35.0,0.0,top
R151,55.2,22.5,90.0,top
R152,50.0,21.5,90.0,top
U101,35.5,12.8,180.0,top
U102,14.3,12.8,180.0,top
U103,44.1,22.8,0.0,top
U104,27.9,35.5,0.0,top
U105,37.45,35.5,0.0,top
U106,10.5185,39.6,180.0,top
